Domain,base_host,CSE_Score,CSE_Match,Lexical_Score,CSE_Similarity,risk_bucket,reason
nickfox.online,nickfox.online,0.3707,NIC,0.075,0.8143,low,lexical+cse
cakesbymonica.us.com,cakesbymonica.us.com,0.4381,NIC,0.2301,0.75,low,lexical+cse
ggn6lp.icu,ggn6lp.icu,0.3011,NIC,0.1942,0.4615,low,lexical+cse
nicole-judd.com,nicole-judd.com,0.3735,NIC,0.0892,0.8,low,lexical+cse
orientalunicorn.cloud,orientalunicorn.cloud,0.3526,NIC,0.0925,0.7429,low,lexical+cse
hypersonicgtm.com,hypersonicgtm.com,0.3674,NIC,0.0946,0.7765,low,lexical+cse
maashorganicproducts.com,maashorganicproducts.com,0.3526,NIC,0.1044,0.725,low,lexical+cse
88vin.in.net,88vin.in.net,0.3008,NIC,0.2051,0.4444,low,lexical+cse
dhlsfax.click,dhlsfax.click,0.3049,HDFC,0.1907,0.4762,low,lexical+cse
6827.online,6827.online,0.3179,SBI,0.1299,0.6,low,lexical+cse
ng7cmv.icu,ng7cmv.icu,0.3165,NIC,0.1942,0.5,low,lexical+cse
nico-on-point-webdesign.com,nico-on-point-webdesign.com,0.3549,NIC,0.1174,0.7111,low,lexical+cse
organicfertilizer.cymru,organicfertilizer.cymru,0.3549,NIC,0.1046,0.7304,low,lexical+cse
zenasebotanica.com,zenasebotanica.com,0.3597,NIC,0.0883,0.7667,low,lexical+cse
onlineshoppers.in.net,onlineshoppers.in.net,0.3487,SBI,0.2256,0.5333,low,lexical+cse
estelazaclinic.com,estelazaclinic.com,0.3597,NIC,0.0883,0.7667,low,lexical+cse
indiancoindealer.in.net,indiancoindealer.in.net,0.3625,IOCL,0.2292,0.5625,low,lexical+cse
nicolafix.com,nicolafix.com,0.3774,NIC,0.0752,0.8308,low,lexical+cse
fertilebalancebotanicals.com,fertilebalancebotanicals.com,0.3474,NIC,0.1075,0.7071,low,lexical+cse
childcareunlimited.uk.com,childcareunlimited.uk.com,0.3242,ICICI,0.252,0.4324,low,lexical+cse
kapelnica-pri-zapoe.store,kapelnica-pri-zapoe.store,0.3561,NIC,0.1135,0.72,low,lexical+cse
glovo.biz,glovo.biz,0.3036,NIC,0.0615,0.6667,low,lexical+cse
nickolasayoub.com,nickolasayoub.com,0.3646,NIC,0.0901,0.7765,low,lexical+cse
aigu9e71pap16.xyz,aigu9e71pap16.xyz,0.32,SBI,0.2555,0.4167,low,lexical+cse
handelsj.ru.com,handelsj.ru.com,0.3054,HDFC,0.2192,0.4348,low,lexical+cse
orquestabeticafilarmonicadesevilla.com,orquestabeticafilarmonicadesevilla.com,0.349,NIC,0.1291,0.6789,low,lexical+cse
lumiso.click,lumiso.click,0.3084,IOCL,0.1806,0.5,low,lexical+cse
ronicasting.com,ronicasting.com,0.369,NIC,0.0817,0.8,low,lexical+cse
ng0l6s.icu,ng0l6s.icu,0.3136,NIC,0.2151,0.4615,low,lexical+cse
lawnicki.net,lawnicki.net,0.3845,NIC,0.0742,0.85,low,lexical+cse
elnicabeauty.com,elnicabeauty.com,0.3691,NIC,0.0902,0.7875,low,lexical+cse
contacto-soporte-tecnico.com,contacto-soporte-tecnico.com,0.3465,NIC,0.106,0.7071,low,lexical+cse
topbananacornices.com,topbananacornices.com,0.353,NIC,0.0932,0.7429,low,lexical+cse
love2019.in.net,love2019.in.net,0.3438,NIC,0.2555,0.4762,low,lexical+cse
mini-health-clinic.com,mini-health-clinic.com,0.3547,NIC,0.1002,0.7364,low,lexical+cse
adhlnf.click,adhlnf.click,0.3112,HDFC,0.1853,0.5,low,lexical+cse
n129.top,n129.top,0.3083,PNB,0.2282,0.4286,low,lexical+cse
botanicsol.com,botanicsol.com,0.3731,NIC,0.079,0.8143,low,lexical+cse
organicearthfiji.online,organicearthfiji.online,0.352,NIC,0.0997,0.7304,low,lexical+cse
chillmechanicalhvac.com,chillmechanicalhvac.com,0.3453,NIC,0.0885,0.7304,low,lexical+cse
7wn4e.top,7wn4e.top,0.3407,PNB,0.2123,0.5333,low,lexical+cse
protechnics.guru,protechnics.guru,0.3691,NIC,0.0902,0.7875,low,lexical+cse
6lqovo.icu,6lqovo.icu,0.3165,NIC,0.1942,0.5,low,lexical+cse
lesbian-chat.top,lesbian-chat.top,0.4401,SBI,0.2085,0.7875,low,lexical+cse
bobhenline.com,bobhenline.com,0.3716,BoB,0.0765,0.8143,low,lexical+cse
theorganicways.com,theorganicways.com,0.366,NIC,0.0989,0.7667,low,lexical+cse
zafranorganicbd.store,zafranorganicbd.store,0.3575,NIC,0.1005,0.7429,low,lexical+cse
1i3mfn.icu,1i3mfn.icu,0.3103,NIC,0.2094,0.4615,low,lexical+cse
sbobetca.website,sbobetca.website,0.3612,BoB,0.077,0.7875,low,lexical+cse
asdfgk.click,asdfgk.click,0.3112,HDFC,0.1853,0.5,low,lexical+cse
smarthomecommunications.com,smarthomecommunications.com,0.3452,NIC,0.1013,0.7111,low,lexical+cse
bpbai.xyz,bpbai.xyz,0.3036,SBI,0.1727,0.5,low,lexical+cse
deltacharlieelectronics.com,deltacharlieelectronics.com,0.3475,NIC,0.105,0.7111,low,lexical+cse
4nldoq.icu,4nldoq.icu,0.3045,NIC,0.1998,0.4615,low,lexical+cse
yannickgeerts.com,yannickgeerts.com,0.3674,NIC,0.0946,0.7765,low,lexical+cse
bobr-prod.online,bobr-prod.online,0.3663,BoB,0.0855,0.7875,low,lexical+cse
arkonics.com,arkonics.com,0.3845,NIC,0.0742,0.85,low,lexical+cse
organicuretherapeutics.com,organicuretherapeutics.com,0.3509,NIC,0.1079,0.7154,low,lexical+cse
organicfarms.cymru,organicfarms.cymru,0.3615,NIC,0.0915,0.7667,low,lexical+cse
hifi4hd.in.net,hifi4hd.in.net,0.3161,ICICI,0.2068,0.48,low,lexical+cse
cardeal24.xyz,cardeal24.xyz,0.3001,Airtel,0.2195,0.4211,low,lexical+cse
cinicrochet.com,cinicrochet.com,0.3645,NIC,0.0742,0.8,low,lexical+cse
nt48ew.icu,nt48ew.icu,0.3136,NIC,0.2151,0.4615,low,lexical+cse
1inp05.icu,1inp05.icu,0.3194,NIC,0.2247,0.4615,low,lexical+cse
sbiadvancedbrokeractqao.com,sbiadvancedbrokeractqao.com,0.3507,SBI,0.1105,0.7111,low,lexical+cse
dytronic.store,dytronic.store,0.374,NIC,0.0805,0.8143,low,lexical+cse
n3ge.top,n3ge.top,0.3433,PNB,0.1912,0.5714,low,lexical+cse
orqvvc.icu,orqvvc.icu,0.304,NIC,0.1733,0.5,low,lexical+cse
alshaficlinic.com,alshaficlinic.com,0.3599,NIC,0.0822,0.7765,low,lexical+cse
shanliang309.top,shanliang309.top,0.3016,IOCL,0.2361,0.4,low,lexical+cse
snackspongebob.site,snackspongebob.site,0.3589,BoB,0.0929,0.7579,low,lexical+cse
rapidlightcommunications.com,rapidlightcommunications.com,0.3498,NIC,0.1115,0.7071,low,lexical+cse
kanser.clinic,kanser.clinic,0.3774,NIC,0.0752,0.8308,low,lexical+cse
r114.online,r114.online,0.3064,SBI,0.1107,0.6,low,lexical+cse
ruandiao.top,ruandiao.top,0.3017,IOCL,0.1853,0.4762,low,lexical+cse
st1ie.xyz,st1ie.xyz,0.3174,SBI,0.1956,0.5,low,lexical+cse
digitaldatacommunications.com,digitaldatacommunications.com,0.3443,NIC,0.1049,0.7034,low,lexical+cse
paginainicial-webmei.com,paginainicial-webmei.com,0.352,NIC,0.1033,0.725,low,lexical+cse
nicolescuperini.com,nicolescuperini.com,0.3565,NIC,0.0889,0.7579,low,lexical+cse
2a0v6n.icu,2a0v6n.icu,0.3228,NIC,0.2303,0.4615,low,lexical+cse
catapultmechanical.com,catapultmechanical.com,0.3508,NIC,0.0938,0.7364,low,lexical+cse
x9ni6a.icu,x9ni6a.icu,0.3103,NIC,0.2094,0.4615,low,lexical+cse
9xn6f938.icu,9xn6f938.icu,0.3133,NIC,0.2555,0.4,low,lexical+cse
zepherouschronicles.org,zepherouschronicles.org,0.3523,NIC,0.1003,0.7304,low,lexical+cse
bytehptronics.com,bytehptronics.com,0.3674,NIC,0.0946,0.7765,low,lexical+cse
organicfarming.wales,organicfarming.wales,0.3584,NIC,0.0973,0.75,low,lexical+cse
nicoleyouraicousin.com,nicoleyouraicousin.com,0.3512,NIC,0.0944,0.7364,low,lexical+cse
nzcm04.icu,nzcm04.icu,0.3103,NIC,0.2094,0.4615,low,lexical+cse
ingenico360.business,ingenico360.business,0.3713,NIC,0.1188,0.75,low,lexical+cse
jfdlsakjfdlsjltestwithnick.you,jfdlsakjfdlsjltestwithnick.you,0.3521,NIC,0.1201,0.7,low,lexical+cse
s8ui3n.icu,s8ui3n.icu,0.3069,NIC,0.2038,0.4615,low,lexical+cse
takipcibank.xyz,takipcibank.xyz,0.3513,ICICI,0.1966,0.5833,low,lexical+cse
kalanicay.com,kalanicay.com,0.3765,NIC,0.0736,0.8308,low,lexical+cse
unadime.top,unadime.top,0.3021,PNB,0.1898,0.4706,low,lexical+cse
sbobet.delivery,sbobet.delivery,0.3704,BoB,0.0841,0.8,low,lexical+cse
bobcatresearchinstitute.com,bobcatresearchinstitute.com,0.3482,BoB,0.1063,0.7111,low,lexical+cse
axuirb.top,axuirb.top,0.3107,Airtel,0.1845,0.5,low,lexical+cse
disparo.icu,disparo.icu,0.3108,IOCL,0.1847,0.5,low,lexical+cse
ezn702sx.icu,ezn702sx.icu,0.3004,NIC,0.234,0.4,low,lexical+cse
organicclothingline.online,organicclothingline.online,0.3439,NIC,0.0962,0.7154,low,lexical+cse
brookesbiblegroup.org,brookesbiblegroup.org,0.351,SBI,0.0898,0.7429,low,lexical+cse
stratteraonline.in.net,stratteraonline.in.net,0.3153,SBI,0.2245,0.4516,low,lexical+cse
gtjoin.top,gtjoin.top,0.304,NIC,0.1733,0.5,low,lexical+cse
communicatingforabetterworld.com,communicatingforabetterworld.com,0.3495,NIC,0.12,0.6937,low,lexical+cse
ihinudi.top,ihinudi.top,0.3066,IOCL,0.1776,0.5,low,lexical+cse
benicetoice.com,benicetoice.com,0.3629,NIC,0.0714,0.8,low,lexical+cse
bobbystrek.com,bobbystrek.com,0.3731,BoB,0.079,0.8143,low,lexical+cse
whiplash-clinic.com,whiplash-clinic.com,0.3605,NIC,0.0955,0.7579,low,lexical+cse
hqlfbob.info,hqlfbob.info,0.3817,BoB,0.0695,0.85,low,lexical+cse
emaeorganics.info,emaeorganics.info,0.3634,NIC,0.088,0.7765,low,lexical+cse
almasatechnicalservice.com,almasatechnicalservice.com,0.348,NIC,0.103,0.7154,low,lexical+cse
dhlsfak.click,dhlsfak.click,0.3023,HDFC,0.1863,0.4762,low,lexical+cse
eunicemisxv.com,eunicemisxv.com,0.369,NIC,0.0817,0.8,low,lexical+cse
989ic.top,989ic.top,0.3051,IRCTC,0.2227,0.4286,low,lexical+cse
clicknexus.click,clicknexus.click,0.3043,SBI,0.1872,0.48,low,lexical+cse
6gvdhs.icu,6gvdhs.icu,0.3199,NIC,0.1998,0.5,low,lexical+cse
stockniches.com,stockniches.com,0.3682,NIC,0.0803,0.8,low,lexical+cse
myhptronics.com,myhptronics.com,0.3713,NIC,0.0855,0.8,low,lexical+cse
itsbobkat.com,itsbobkat.com,0.3774,BoB,0.0752,0.8308,low,lexical+cse
joshsmobilemechanicservices.com,joshsmobilemechanicservices.com,0.3457,NIC,0.1116,0.6968,low,lexical+cse
gamicore.click,gamicore.click,0.3141,Airtel,0.1901,0.5,low,lexical+cse
pinicaleadvisory.com,pinicaleadvisory.com,0.3601,NIC,0.1002,0.75,low,lexical+cse
ne5.top,ne5.top,0.3582,PNB,0.1867,0.6154,low,lexical+cse
lovingshitcoinsdisorder.xyz,lovingshitcoinsdisorder.xyz,0.3026,ICICI,0.2237,0.4211,low,lexical+cse
bank65.top,bank65.top,0.3108,BoB,0.2151,0.4545,low,lexical+cse
shanliang276.top,shanliang276.top,0.3016,IOCL,0.2361,0.4,low,lexical+cse
linkterbaik-luck365.xyz,linkterbaik-luck365.xyz,0.3018,SBI,0.2531,0.375,low,lexical+cse
doronichi.online,doronichi.online,0.3604,NIC,0.0757,0.7875,low,lexical+cse
nico.photo,nico.photo,0.396,NIC,0.0601,0.9,low,lexical+cse
kwetuorganics.com,kwetuorganics.com,0.3694,NIC,0.0979,0.7765,low,lexical+cse
kindbody-clinical.com,kindbody-clinical.com,0.3565,NIC,0.0989,0.7429,low,lexical+cse
galaxyelectronics.sbs,galaxyelectronics.sbs,0.3581,NIC,0.1015,0.7429,low,lexical+cse
warmoesbiennale.com,warmoesbiennale.com,0.3589,SBI,0.0929,0.7579,low,lexical+cse
benice.info,benice.info,0.3871,NIC,0.0633,0.8727,low,lexical+cse
sdminicar.com,sdminicar.com,0.3774,NIC,0.0752,0.8308,low,lexical+cse
helmetlabclinic.com,helmetlabclinic.com,0.3565,NIC,0.0889,0.7579,low,lexical+cse
felixmechanical.com,felixmechanical.com,0.3571,NIC,0.09,0.7579,low,lexical+cse
shanliang278.top,shanliang278.top,0.3016,IOCL,0.2361,0.4,low,lexical+cse
appleclinicservice.online,appleclinicservice.online,0.3449,NIC,0.0949,0.72,low,lexical+cse
xinxin111111.top,xinxin111111.top,0.3019,IOCL,0.2366,0.4,low,lexical+cse
2069l5ic.icu,2069l5ic.icu,0.3387,ICICI,0.2508,0.4706,low,lexical+cse
mindsmechanicai.com,mindsmechanicai.com,0.354,NIC,0.0848,0.7579,low,lexical+cse
nickandleah.com,nickandleah.com,0.3713,NIC,0.0855,0.8,low,lexical+cse
eavlopnb.click,eavlopnb.click,0.4431,PNB,0.1956,0.8143,low,lexical+cse
padethionic.info,padethionic.info,0.3662,NIC,0.0853,0.7875,low,lexical+cse
lon6ke.top,lon6ke.top,0.3165,PNB,0.1942,0.5,low,lexical+cse
henielunicorn.com,henielunicorn.com,0.3607,NIC,0.0835,0.7765,low,lexical+cse
ginandtonictavern.com,ginandtonictavern.com,0.3539,NIC,0.0945,0.7429,low,lexical+cse
239n.top,239n.top,0.3083,PNB,0.2282,0.4286,low,lexical+cse
etechnicalservices.com,etechnicalservices.com,0.3523,NIC,0.0963,0.7364,low,lexical+cse
161ir.top,161ir.top,0.3051,IRCTC,0.2227,0.4286,low,lexical+cse
unicashoje-soagora.lol,unicashoje-soagora.lol,0.357,NIC,0.1042,0.7364,low,lexical+cse
thesonicorgasm.com,thesonicorgasm.com,0.3615,NIC,0.0915,0.7667,low,lexical+cse
joiniceweb.com,joiniceweb.com,0.3716,NIC,0.0765,0.8143,low,lexical+cse
yakuzahorsespongebob.com,yakuzahorsespongebob.com,0.3556,BoB,0.1094,0.725,low,lexical+cse
nickrawe.com,nickrawe.com,0.3873,NIC,0.0789,0.85,low,lexical+cse
farmsinorganics.com,farmsinorganics.com,0.356,NIC,0.0881,0.7579,low,lexical+cse
en-us-thecogniclear.com,en-us-thecogniclear.com,0.3603,NIC,0.1135,0.7304,low,lexical+cse
ld11265.click,ld11265.click,0.301,HDFC,0.2477,0.381,low,lexical+cse
temploluzdianica.com,temploluzdianica.com,0.359,NIC,0.0984,0.75,low,lexical+cse
shanliang293.top,shanliang293.top,0.3016,IOCL,0.2361,0.4,low,lexical+cse
clinicamundofacil.com,clinicamundofacil.com,0.35,NIC,0.0882,0.7429,low,lexical+cse
nc5ict.icu,nc5ict.icu,0.3218,ICICI,0.1808,0.5333,low,lexical+cse
xocdia88vn.in.net,xocdia88vn.in.net,0.3159,NIC,0.2366,0.4348,low,lexical+cse
nicegirlbusiness.com,nicegirlbusiness.com,0.3561,NIC,0.0935,0.75,low,lexical+cse
instructure.sa.com,instructure.sa.com,0.3067,IRCTC,0.2213,0.4348,low,lexical+cse
gloriousbingo.live,gloriousbingo.live,0.359,SBI,0.0871,0.7667,low,lexical+cse
thebobabash.com,thebobabash.com,0.3659,BoB,0.0766,0.8,low,lexical+cse
mecanicshop.com,mecanicshop.com,0.3682,NIC,0.0803,0.8,low,lexical+cse
abian.life,abian.life,0.3197,SBI,0.0622,0.7059,low,lexical+cse
hispanicproject.org,hispanicproject.org,0.3614,NIC,0.097,0.7579,low,lexical+cse
synvoltravenic.info,synvoltravenic.info,0.3607,NIC,0.0959,0.7579,low,lexical+cse
wvupanhellenicsororities.com,wvupanhellenicsororities.com,0.3522,NIC,0.1155,0.7071,low,lexical+cse
monicatraders.shop,monicatraders.shop,0.3641,NIC,0.0958,0.7667,low,lexical+cse
shanliang315.top,shanliang315.top,0.3016,IOCL,0.2361,0.4,low,lexical+cse
bigfellasbirmingham.com,bigfellasbirmingham.com,0.3544,SBI,0.1037,0.7304,low,lexical+cse
organicfarms.wales,organicfarms.wales,0.3634,NIC,0.0946,0.7667,low,lexical+cse
t4d3.online,t4d3.online,0.301,SBI,0.1017,0.6,low,lexical+cse
usedminicars.com,usedminicars.com,0.367,NIC,0.0867,0.7875,low,lexical+cse
msdhoni.life,msdhoni.life,0.3,SBI,0.0789,0.6316,low,lexical+cse
1ps.online,1ps.online,0.3025,SBI,0.0831,0.6316,low,lexical+cse
blackingston.xyz,blackingston.xyz,0.3028,BoB,0.2083,0.4444,low,lexical+cse
wavivox.click,wavivox.click,0.3,IOCL,0.1863,0.4706,low,lexical+cse
raizesbiblicas.com,raizesbiblicas.com,0.3597,SBI,0.0883,0.7667,low,lexical+cse
ethnicwear.online,ethnicwear.online,0.3619,NIC,0.0855,0.7765,low,lexical+cse
bilgegazi.xyz,bilgegazi.xyz,0.3118,SBI,0.1863,0.5,low,lexical+cse
womica.icu,womica.icu,0.3173,ICICI,0.1733,0.5333,low,lexical+cse
2an2xa.icu,2an2xa.icu,0.3069,NIC,0.2038,0.4615,low,lexical+cse
maxiloclinica.com,maxiloclinica.com,0.3559,NIC,0.0756,0.7765,low,lexical+cse
avionicscooling.com,avionicscooling.com,0.3529,NIC,0.0829,0.7579,low,lexical+cse
halosbiosciences.com,halosbiosciences.com,0.3538,SBI,0.0896,0.75,low,lexical+cse
amire.top,amire.top,0.3207,Airtel,0.1789,0.5333,low,lexical+cse
ecopurehygienic.com,ecopurehygienic.com,0.3583,NIC,0.0918,0.7579,low,lexical+cse
pescariniconsulting.online,pescariniconsulting.online,0.3474,NIC,0.1021,0.7154,low,lexical+cse
di5feg.top,di5feg.top,0.3421,HDFC,0.1998,0.5556,low,lexical+cse
supersonictsunami.xyz,supersonictsunami.xyz,0.4263,NIC,0.2153,0.7429,low,lexical+cse
48shnt.icu,48shnt.icu,0.3136,NIC,0.2151,0.4615,low,lexical+cse
ginnandtonik.xyz,ginnandtonik.xyz,0.3086,IOCL,0.1943,0.48,low,lexical+cse
fenice-bitvexa-tech.com,fenice-bitvexa-tech.com,0.3579,NIC,0.1095,0.7304,low,lexical+cse
634n.top,634n.top,0.3083,PNB,0.2282,0.4286,low,lexical+cse
yingbac2h8n.top,yingbac2h8n.top,0.3023,IOCL,0.226,0.4167,low,lexical+cse
euonline.site,euonline.site,0.3325,SBI,0.0693,0.7273,low,lexical+cse
niffic.icu,niffic.icu,0.3093,ICICI,0.1599,0.5333,low,lexical+cse
machetesbigquesadillas.com,machetesbigquesadillas.com,0.3522,SBI,0.1101,0.7154,low,lexical+cse
pinicale.tech,pinicale.tech,0.3774,NIC,0.0752,0.8308,low,lexical+cse
basedbirdy.xyz,basedbirdy.xyz,0.3055,SBI,0.1916,0.4762,low,lexical+cse
kindbodyclinical.org,kindbodyclinical.org,0.3567,NIC,0.0945,0.75,low,lexical+cse
potolki-genichesk.online,potolki-genichesk.online,0.3529,NIC,0.1049,0.725,low,lexical+cse
pulseclinic.site,pulseclinic.site,0.362,NIC,0.0783,0.7875,low,lexical+cse
zsl4p0ob.icu,zsl4p0ob.icu,0.301,SBI,0.2209,0.4211,low,lexical+cse
unicatlabs.com,unicatlabs.com,0.3764,NIC,0.0845,0.8143,low,lexical+cse
674n.top,674n.top,0.3083,PNB,0.2282,0.4286,low,lexical+cse
chroniccarescompass.com,chroniccarescompass.com,0.3473,NIC,0.0919,0.7304,low,lexical+cse
kmart-tienich.store,kmart-tienich.store,0.3629,NIC,0.0996,0.7579,low,lexical+cse
wpanel.top,wpanel.top,0.3074,PNB,0.1789,0.5,low,lexical+cse
munafisunelectronic.com,munafisunelectronic.com,0.3529,NIC,0.1012,0.7304,low,lexical+cse
homelessbitch.com,homelessbitch.com,0.3614,SBI,0.0847,0.7765,low,lexical+cse
rendezlesbijouxdelacouronne.store,rendezlesbijouxdelacouronne.store,0.3474,SBI,0.1185,0.6909,low,lexical+cse
supersonicflights.app,supersonicflights.app,0.3591,NIC,0.1032,0.7429,low,lexical+cse
unicart.shop,unicart.shop,0.3901,NIC,0.0836,0.85,low,lexical+cse
jelenakrunic.com,jelenakrunic.com,0.3691,NIC,0.0902,0.7875,low,lexical+cse
xoraorganics.com,xoraorganics.com,0.3641,NIC,0.0818,0.7875,low,lexical+cse
pspai.xyz,pspai.xyz,0.3036,SBI,0.1727,0.5,low,lexical+cse
nickchenit456demodomain.com,nickchenit456demodomain.com,0.3622,NIC,0.1295,0.7111,low,lexical+cse
wavale.icu,wavale.icu,0.3074,NIC,0.1789,0.5,low,lexical+cse
lordfilmleaning.top,lordfilmleaning.top,0.3109,BoB,0.207,0.4667,low,lexical+cse
aeternalongevityclinic.shop,aeternalongevityclinic.shop,0.3515,NIC,0.1118,0.7111,low,lexical+cse
silverbackchronicles.com,silverbackchronicles.com,0.3528,NIC,0.1047,0.725,low,lexical+cse
olinicika.com,olinicika.com,0.3739,NIC,0.0693,0.8308,low,lexical+cse
rejoicetechnicalsolutions.com,rejoicetechnicalsolutions.com,0.3475,NIC,0.1102,0.7034,low,lexical+cse
pergolabioclimattique.com,pergolabioclimattique.com,0.3682,IOCL,0.107,0.76,low,lexical+cse
nicocars.info,nicocars.info,0.3748,NIC,0.0709,0.8308,low,lexical+cse
fom.clinic,fom.clinic,0.3973,NIC,0.0622,0.9,low,lexical+cse
directioner.xyz,directioner.xyz,0.3026,ICICI,0.1966,0.4615,low,lexical+cse
psicologiaclinicasantiagogastearena.com,psicologiaclinicasantiagogastearena.com,0.3426,NIC,0.1197,0.6769,low,lexical+cse
mechanical-repair.com,mechanical-repair.com,0.3565,NIC,0.0989,0.7429,low,lexical+cse
lucasbieganskiphotography.com,lucasbieganskiphotography.com,0.3545,SBI,0.1218,0.7034,low,lexical+cse
municipalactioncenter.info,municipalactioncenter.info,0.348,NIC,0.103,0.7154,low,lexical+cse
thechronicfighter.org,thechronicfighter.org,0.351,NIC,0.0898,0.7429,low,lexical+cse
esqbi.xyz,esqbi.xyz,0.3073,SBI,0.1789,0.5,low,lexical+cse
banichiweb.com,banichiweb.com,0.374,NIC,0.0805,0.8143,low,lexical+cse
1370x6nw.icu,1370x6nw.icu,0.3161,NIC,0.2602,0.4,low,lexical+cse
sunbits.click,sunbits.click,0.3118,SBI,0.1863,0.5,low,lexical+cse
nicoperry.com,nicoperry.com,0.3774,NIC,0.0752,0.8308,low,lexical+cse
caksn3.icu,caksn3.icu,0.3011,NIC,0.1942,0.4615,low,lexical+cse
y9nmsg.icu,y9nmsg.icu,0.3045,NIC,0.1998,0.4615,low,lexical+cse
onlinebackup.us.com,onlinebackup.us.com,0.3384,SBI,0.2307,0.5,low,lexical+cse
portfoliocloud.host,portfoliocloud.host,0.3774,IOCL,0.0887,0.8105,low,lexical+cse
180n.top,180n.top,0.3083,PNB,0.2282,0.4286,low,lexical+cse
g9o3o2.info,g9o3o2.info,0.3006,NIC,0.1088,0.5882,low,lexical+cse
bobinajsancaktepe.com,bobinajsancaktepe.com,0.3565,BoB,0.0989,0.7429,low,lexical+cse
serba69.xyz,serba69.xyz,0.3085,SBI,0.2179,0.4444,low,lexical+cse
6koninicrescent.com,6koninicrescent.com,0.362,NIC,0.098,0.7579,low,lexical+cse
1898.online,1898.online,0.3149,SBI,0.1248,0.6,low,lexical+cse
ettesalmechanic.com,ettesalmechanic.com,0.3565,NIC,0.0889,0.7579,low,lexical+cse
mentalmechanic.xyz,mentalmechanic.xyz,0.4289,NIC,0.2037,0.7667,low,lexical+cse
goodtimemusicbob.com,goodtimemusicbob.com,0.3533,BoB,0.0889,0.75,low,lexical+cse
on-w.icu,on-w.icu,0.3241,NIC,0.1765,0.5455,low,lexical+cse
unicornhrconsulting.com,unicornhrconsulting.com,0.35,NIC,0.0963,0.7304,low,lexical+cse
1winep.buzz,1winep.buzz,0.3075,PNB,0.1988,0.4706,low,lexical+cse
kawaii520.icu,kawaii520.icu,0.3013,NIC,0.2215,0.4211,low,lexical+cse
trupartnersbilling.com,trupartnersbilling.com,0.3579,SBI,0.1056,0.7364,low,lexical+cse
nic-bot.info,nic-bot.info,0.3839,NIC,0.0732,0.85,low,lexical+cse
gsormj1f83.icu,gsormj1f83.icu,0.303,NIC,0.2384,0.4,low,lexical+cse
cybertronchronicle.com,cybertronchronicle.com,0.3512,NIC,0.0944,0.7364,low,lexical+cse
nwc6e2.icu,nwc6e2.icu,0.3103,NIC,0.2094,0.4615,low,lexical+cse
cenicasa.com,cenicasa.com,0.3806,NIC,0.0677,0.85,low,lexical+cse
guahdu.click,guahdu.click,0.3112,HDFC,0.1853,0.5,low,lexical+cse
botanicalscommodities.com,botanicalscommodities.com,0.3476,NIC,0.0994,0.72,low,lexical+cse
bathendbodayworks.us.com,bathendbodayworks.us.com,0.308,BoB,0.254,0.3889,low,lexical+cse
shc-tronic.info,shc-tronic.info,0.3713,NIC,0.0854,0.8,low,lexical+cse
nicolasherman.com,nicolasherman.com,0.3634,NIC,0.088,0.7765,low,lexical+cse
bpmechanical.online,bpmechanical.online,0.3571,NIC,0.09,0.7579,low,lexical+cse
zendenclinic.com,zendenclinic.com,0.3612,NIC,0.077,0.7875,low,lexical+cse
sbiuled.com,sbiuled.com,0.3963,SBI,0.0787,0.8727,low,lexical+cse
nicstephensphotography.online,nicstephensphotography.online,0.3478,NIC,0.1107,0.7034,low,lexical+cse
nicehotelspb.store,nicehotelspb.store,0.3615,NIC,0.0915,0.7667,low,lexical+cse
myorganickart.com,myorganickart.com,0.3634,NIC,0.088,0.7765,low,lexical+cse
i0nh9u.icu,i0nh9u.icu,0.3069,NIC,0.2038,0.4615,low,lexical+cse
zbxpsbi.icu,zbxpsbi.icu,0.4568,SBI,0.1796,0.8727,medium,lexical+cse
lc3sqb96pi5a.xyz,lc3sqb96pi5a.xyz,0.326,SBI,0.2535,0.4348,low,lexical+cse
shanliang281.top,shanliang281.top,0.3016,IOCL,0.2361,0.4,low,lexical+cse
pnbl6v.top,pnbl6v.top,0.4765,PNB,0.1942,0.9,medium,lexical+cse
n8get9.top,n8get9.top,0.3257,PNB,0.2094,0.5,low,lexical+cse
primeconsultingdev.click,primeconsultingdev.click,0.3024,SBI,0.2211,0.4242,low,lexical+cse
organicfestuae.com,organicfestuae.com,0.3641,NIC,0.0958,0.7667,low,lexical+cse
flysupersonic.app,flysupersonic.app,0.3666,NIC,0.0934,0.7765,low,lexical+cse
hubpsicologiaclinica.com,hubpsicologiaclinica.com,0.3495,NIC,0.0992,0.725,low,lexical+cse
lucky-fliprush.click,lucky-fliprush.click,0.3,ICICI,0.2083,0.4375,low,lexical+cse
technicallywork.ing,technicallywork.ing,0.3631,NIC,0.1,0.7579,low,lexical+cse
bobevansmenue.com,bobevansmenue.com,0.3607,BoB,0.0835,0.7765,low,lexical+cse
kalimpongmunicipality.org,kalimpongmunicipality.org,0.3519,NIC,0.1064,0.72,low,lexical+cse
positronicbrain.online,positronicbrain.online,0.3502,NIC,0.0928,0.7364,low,lexical+cse
groupnb-ai.com,groupnb-ai.com,0.3811,PNB,0.0923,0.8143,low,lexical+cse
salik-emirate.click,salik-emirate.click,0.3149,Airtel,0.2048,0.48,low,lexical+cse
